Отметка времени;Амбассадор;Выбери активность;Название заведения с Яндекс карты;Адрес с Яндекс карты;Bliss ( что стоит в работе );WHITE LINE  ( что стоит в работе );BLACK LINE  ( что стоит в работе );CIGAR LINE  ( что стоит в работе )
14.08.2025;Дмитрий Мальков;Проезд;O. G. Lounge;Москва, Головинское шоссе, 12;;;;АНАНАС
14.08.2025;Левин Роман;Проезд;SM Lounge;Краснодар, улица имени 40-летия Победы, 140I;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ЗЕЛЕНЫЙ ЧАЙ, МАРАКУЙЯ, СМОРОДИНА КРЫЖОВНИК, СМОРОДИНА ЧАБРЕЦ, ЧЕРЁМУХА;;
14.08.2025;Эдуард Цепелев;Проезд;Лукоморье;Пермь, улица Писарева, 37, 614030;КЛУБНИКА;;УРАЛ;
14.08.2025;Дмитрий Никулин;Проезд;Sparta Chill & Bar;Липецкая ул., 2, корп. 7, 115404;;АЛОЭ КЛУБНИКА, ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), КОКОС, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА, ЧЕРНИКА ЙОГУРТ, ЧЕРНОСЛИВ КЕДР, ЯГОДНЫЙ МИЛКШЕЙК, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);ПЕСОЧНОЕ ПЕЧЕНЬЕ, СЛИВА АБРИКОС, SWITTLES( ФРУКТОВОЕ ДРАЖЕ);
14.08.2025;Эдуард Цепелев;Проезд;Атмосфера;Пермь, улица Карбышева, 43А;АПЕЛЬСИН, МАЛИНА, МАЛИНОВАЯ КОЛА, PINK SHOT;БАРБАРИС, ЗЕЛЕНЫЙ ЧАЙ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧУПА ЭНЕРДЖИ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
14.08.2025;Левин Роман;Проезд;Давай Покрепче ;Краснодар, улица имени 40-летия Победы, 148/2;АРБУЗНАЯ ЖВАЧКА, КРАСНЫЙ ВИНОГРАД, ЛИМОН, ТРОПИЧЕСКИЙ СМУЗИ, ЯГОДНЫЙ СМУЗИ;;;
14.08.2025;Дмитрий Никулин;Проезд;Мята Platinum;ул. Большая Якиманка, 50, 119049;ДЫНЯ, МАЛИНА, МАНГО;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, КИВИ СЕЛЬДЕРЕЙ, КОКОС, ЛАВАНДА ФЕЙХОА, ЛАВАНДОВЫЙ ТОНИК, МАРАСКИНО ЧЕРРИ, ОАЗИС (МАНГО ЛИЧИ АПЕЛЬСИН), ЧЕРЁМУХА, ЧЕРНОСЛИВ КЕДР;;
14.08.2025;Дмитрий Гришин;Проезд;Pelli-Pilli club;Профсоюзная 44;АПЕЛЬСИН, ТРОПИЧЕСКИЙ СМУЗИ, ХВОЯ, PINK SHOT;АНАНАC ФЕЙХОА, АРБУЗ ЯГОДЫ, ВИШНЁВЫЙ СОК, ГАСПАЧО, ГОЛУБИКА, ЁЛКИ ЯГОДЫ АНАНАС, ЛАВАНДОВЫЙ ТОНИК, ЛЕДЯНОЙ АРБУЗ, МАЙ ТАЙ (РОМ ЛАЙМ АНАНАС МИНДАЛЬ);ТОРФЯНОЙ ВИСКИ;
19.08.2025;Петров Алексей;Проезд;АФК лаунж бар;Санкт-Петербург, улица Есенина, 1, корп. 1, 194354;;БАНАН, ВИШНЁВЫЙ СОК, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), КИВИ СЕЛЬДЕРЕЙ, КЛУБНИКА ОГУРЕЦ, КОКОС, ЛИМОНЧЕЛЛО, МУЛЬТИФРУКТ, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН), САХАРНАЯ КЛЮКВА;ГВОЗДИКА, КОРИЦА, СЛИВА АБРИКОС;
14.08.2025;Фофанов Андрей;Проезд;Biblioteka lounge;Челябинск, проспект Героя России Е.Н. Родионова, 13;ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;;;ДЖИН
14.08.2025;Левин Роман;Проезд;ТД Лаунж;Краснодар, улица имени 40-летия Победы, 65/1 • этаж 3;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, КЛУБНИКА, КРАСНЫЙ ВИНОГРАД, МАЛИНА, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;ПЕСОЧНОЕ ПЕЧЕНЬЕ;;
15.08.2025;Дмитрий Никулин;Проезд;Gangster Gatsby;ул. Рогожский Вал, 5, стр. 13, 109544 • этаж 2;;;;
15.08.2025;Шарков Роман;Проезд;Smoky People;Республика Башкортостан, Уфа, улица Ленина, 32, 450077;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КЛУБНИКА, КОЛА, КРАСНЫЙ ВИНОГРАД, ЛИМОН, МАЛИНА, МАНГО, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ХВОЯ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;АЛОЭ КЛУБНИКА, АНАНАC ФЕЙХОА, ЗЕЛЕНЫЙ ЧАЙ, ЗЕМЛЯНИКА, ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, САХАРНАЯ КЛЮКВА, ЧУПА ЭНЕРДЖИ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
15.08.2025;Дмитрий Никулин;Проезд;T&S Lounge;Гжельский пер., 1/25, 105120;;АЛОЭ КЛУБНИКА, ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), КИВИ СЕЛЬДЕРЕЙ, МАЛИНА, ЧУПА ЭНЕРДЖИ;;
15.08.2025;Дмитрий Никулин;Проезд;Vito lounge;ул. Сергия Радонежского, 15-17с14;;;;
15.08.2025;Дмитрий Никулин;Проезд;Koury;ш. Энтузиастов, 1, корп. 2;;ГРУША ГОРГОНЗОЛА, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), КАКТУС ПОМЕЛО, ЧЕРНОСЛИВ КЕДР, ЯГОДНЫЙ МИЛКШЕЙК;;
15.08.2025;Чечин Илья;Проезд;Дуть;Бульвар Белые цветы, улица Четаева, 66Б;;ВИШНЁВЫЙ СОК, ГРУША ГОРГОНЗОЛА, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ;ГВОЗДИКА, ЛАВАНДА;
15.08.2025;Дмитрий Никулин;Проезд;Bobsonm Lounge;Международная ул., 15А;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЛАВАНДА ФЕЙХОА, МАНДАРИН, ОАЗИС (МАНГО ЛИЧИ АПЕЛЬСИН), САХАРНАЯ КЛЮКВА, ЯГОДНЫЙ МИЛКШЕЙК, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
15.08.2025;Дмитрий Мальков;Проезд;Мята Platinum;Москва, Ярцевская улица, 34, корп. 2, 121552 • этаж 1;;КАРАМЕЛЬ ЦИТРУС, КИВИ СЕЛЬДЕРЕЙ, МАРАСКИНО ЧЕРРИ;;
17.08.2025;Шкуркин Иван;Проезд;Ngt;Новосибирск, улица Якушева, 33;;;;
15.08.2025;Чечин Илья;Проезд;HookahPlace Avangard;Проспект Ямашева, 100г;ЛИМОНЧЕЛЛО, МАЛИНОВАЯ КОЛА, ХВОЯ, PINK SHOT;АЛОЭ КЛУБНИКА, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, КИВИ СЕЛЬДЕРЕЙ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, СМОРОДИНА ЧАБРЕЦ, ЧЕРЁМУХА, ЧЕРНОСЛИВ КЕДР;;
15.08.2025;Дмитрий Мальков;Проезд;Luna Lounge;Москва, Ярцевская улица, 19, 121552 • этаж 1;КОКОС, СЛИВОЧНЫЙ КРЕМ;;КОРИЦА, ЛАВАНДА;
16.08.2025;Голев Вадим;Проезд;Дуть;ЖК Discovery Residence, улица Гагарина, 9;КОЛА;ГРУША ГОРГОНЗОЛА, КИВИ СЕЛЬДЕРЕЙ, СМОРОДИНА ЧАБРЕЦ;ГВОЗДИКА;
16.08.2025;Голев Вадим;Проезд;Табак №1;ЖК Университетский, Комсомольская, 78;;АЛОЭ КЛУБНИКА, АНАНАC, АРБУЗ ЯГОДЫ, БАЗИЛИК ЛАЙМ, ВИШНЁВЫЙ СОК, ВИНОГРАДНЫЙ НАПИТОК, ВИШНЕВАЯ ГАЗИРОВКА, ГОЛУБИКА, ГРЕЙПФРУТ, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ДЫНЯ ЙОГУРТ, ЗЕЛЕНЫЙ ЧАЙ, ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), КИВИ СЕЛЬДЕРЕЙ, КИСЛАЯ МАЛИНА, КОКОС, КОЛА КАРАМЕЛЬ, ЛАВАНДА ФЕЙХОА, ЛЕДЯНОЙ АРБУЗ, ЛИМОН, МАЙ ТАЙ (РОМ ЛАЙМ АНАНАС МИНДАЛЬ), МАНГО КИВИ, МАРАКУЙЯ, МЯТНАЯ КОНФЕТА, ОАЗИС (МАНГО ЛИЧИ АПЕЛЬСИН), САХАРНАЯ КЛЮКВА, СМОРОДИНА ЧАБРЕЦ, ФРУКТОВАЯ КОНФЕТА, ЧЕРЁМУХА, ЧЕРНОСЛИВ КЕДР, ЧУПА ЭНЕРДЖИ, ЯГОДНЫЙ МИЛКШЕЙК;;
16.08.2025;Голев Вадим;Проезд;Svoi;Улица Гагарина, 45;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА);;
19.08.2025;Шкуркин Иван;Проезд;Residence lounge;Новосибирск, Ленинский район, микрорайон Горский, 1/1 • этаж 2;;БАЗИЛИК ЛАЙМ, КЛУБНИКА ОГУРЕЦ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН), САХАРНАЯ КЛЮКВА, ЧЕРНОСЛИВ КЕДР, ЧУПА ЭНЕРДЖИ, ЯГОДНЫЙ, ЯГОДНЫЙ МИЛКШЕЙК;ГВОЗДИКА, КОРИЦА;ГРЕЦКИЙ, КАРАМЕЛЬ, ЧЁРНЫЙ ПЕРЕЦ
17.08.2025;Левин Роман;Проезд;Tangiers Lounge ;Краснодар, Красная улица, 113 • этаж 1;;;;
18.08.2025;Эдуард Цепелев;Проезд;Туман;Пермь, улица Куйбышева, 69, 614016 • этаж цокольный;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КОЛА, ЛИМОН, ЛИМОНЧЕЛЛО, МАЛИНА, МАЛИНОВАЯ КОЛА, МАНГО, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;ВИШНЁВЫЙ СОК, ДЫНЯ ЙОГУРТ, ЗЕМЛЯНИКА, КАРАМЕЛЬ ЦИТРУС, ЛАВАНДОВЫЙ ТОНИК, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, САХАРНАЯ КЛЮКВА, ЧЕРНИКА ЙОГУРТ, ЯГОДНЫЙ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);КОРИЦА, ЛАВАНДА, УРАЛ;ДЖИН, КАРАМЕЛЬ, МОРКОВНЫЙ ФРЕШ
18.08.2025;Дубицкий Иван;Проезд;Luna Home;Нижний Новгород, Большая Покровская улица, 69;ТРОПИЧЕСКИЙ СМУЗИ;ЛИМОНЧЕЛЛО, МУЛЬТИФРУКТ, ЧЕРЁМУХА;СЛИВА АБРИКОС, УРАЛ;ДЖИН, КАРАМЕЛЬ
18.08.2025;Дмитрий Никулин;Проезд;Dukh;Мясницкая ул., 24/7с1, 101000;МАЛИНА;ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ПЕСОЧНОЕ ПЕЧЕНЬЕ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);ТОРФЯНОЙ ВИСКИ;
18.08.2025;Чечин Илья;Проезд;1 st Gallery kitchen;Меридианная улица, 1;;КОКОС;;
18.08.2025;Дмитрий Мальков;Проезд;Hookah Day;Хорошёвское ш., 16, стр. 3 этаж 3;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), КАРАМЕЛЬ ЦИТРУС, КОКОС, КОЛА КАРАМЕЛЬ, МАЙ ТАЙ (РОМ ЛАЙМ АНАНАС МИНДАЛЬ), ПЕСОЧНОЕ ПЕЧЕНЬЕ, САХАРНАЯ КЛЮКВА, ЧУПА ЭНЕРДЖИ;;
18.08.2025;Дмитрий Никулин;Проезд;Hookahplace Forever;Мясницкая ул., 13, стр. 24, 101000;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), КИВИ СЕЛЬДЕРЕЙ, ЛАВАНДА ФЕЙХОА, МАРАСКИНО ЧЕРРИ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА, ЧЕРНОСЛИВ КЕДР;;
18.08.2025;Эдуард Цепелев;Проезд;Opera Lounge;Пермь, улица Революции, 24, 614039 • этаж 2;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КЛУБНИКА, КОКОС, КОЛА, КРАСНЫЙ ВИНОГРАД, ЛИМОН, МАЛИНА, МАНГО, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT, SUPER ICE;ГАСПАЧО, ГРУША, ГРУША ГОРГОНЗОЛА, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), КИВИ СЕЛЬДЕРЕЙ, ЛИМОНЧЕЛЛО, САХАРНАЯ КЛЮКВА, СМОРОДИНА КРЫЖОВНИК, СМОРОДИНА ЧАБРЕЦ, ЧЕРНИКА ЙОГУРТ, ЯГОДНЫЙ МИЛКШЕЙК;ГВОЗДИКА, УРАЛ;ДЖИН, КАРАМЕЛЬ
18.08.2025;Дубицкий Иван;Проезд;Dым Лондон;Нижний Новгород, Октябрьская улица, 5, 603000;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), МАЙ ТАЙ (РОМ ЛАЙМ АНАНАС МИНДАЛЬ), ЧЕРНОСЛИВ КЕДР;КОРИЦА;
18.08.2025;Дмитрий Никулин;Проезд;Апартмент;Мясницкая ул., 18;ХВОЯ;ПЕСОЧНОЕ ПЕЧЕНЬЕ;;БАЗА, ГРЕЦКИЙ, КАРАМЕЛЬ, МАЛИНА, ЧЁРНЫЙ ПЕРЕЦ
18.08.2025;Дмитрий Мальков;Проезд;HookahPlace; ул. Розанова, 4 ;;АЛОЭ КЛУБНИКА, ЛАВАНДА ФЕЙХОА;;
18.08.2025;Дмитрий Никулин;Проезд;Танжирс Лаунж;ул. Покровка, 31, стр. 4, 105062;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КОКОС, КРАСНЫЙ ВИНОГРАД, ЛИМОН, ПЕРСИК ЙОГУРТ, ТРОПИЧЕСКИЙ СМУЗИ, ХВОЯ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT, SUPER ICE;ГАСПАЧО, ГОЛУБИКА, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, КИВИ СЕЛЬДЕРЕЙ, ЛАВАНДА ФЕЙХОА, ЛАВАНДОВЫЙ ТОНИК, МАНГО КИВИ, МАНДАРИН, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, САХАРНАЯ КЛЮКВА, СМОРОДИНА ЧАБРЕЦ, ФРУКТОВАЯ КОНФЕТА, ЧЕРЁМУХА, ЧЕРНОСЛИВ КЕДР, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);ГРЕЙПФРУТ, ТОРФЯНОЙ ВИСКИ;АНАНАС, БАЗА, ГРЕЦКИЙ, ДЖИН, ЗЕМЛЯНИКА, КАРАМЕЛЬ, МАЛИНА, МАНГО, МОРКОВНЫЙ ФРЕШ, ЧЁРНЫЙ ПЕРЕЦ
18.08.2025;Дубицкий Иван;Проезд;Dым;Нижний Новгород, Малая Покровская улица, 4;;;;
18.08.2025;Дмитрий Мальков;Проезд;HookahPlace Wellton;Москва, улица Народного Ополчения, 15, корп. 2;;ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ДЫНЯ ЙОГУРТ, ЗЕЛЕНЫЙ ЧАЙ, ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), КИВИ СЕЛЬДЕРЕЙ, КОКОС, ЛИМОН, МАНДАРИН, МУЛЬТИФРУКТ, ОАЗИС (МАНГО ЛИЧИ АПЕЛЬСИН), ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА, ЧЕРНОСЛИВ КЕДР;;
18.08.2025;Голев Вадим;Проезд;Чёрный лис;ЖК Крылов, улица Мельникова, 27;АРБУЗНАЯ ЖВАЧКА, КОКОС, КОЛА, ЛИМОН, ХВОЯ;ЗЕЛЕНЫЙ ЧАЙ, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН);;
18.08.2025;Кравцов Денис;Проезд;МСК Lounge;Московская область, Мытищи, улица Мира, с32/2;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), КЛУБНИКА ОГУРЕЦ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);УРАЛ, ЧЁРНАЯ СМОРОДИНА;
18.08.2025;Кравцов Денис;Проезд;Mansion by chill out group;Московская область, Мытищи, улица Колпакова, 44, стр. А • этаж 1;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), КОКОС, СМОРОДИНА ЧАБРЕЦ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);ГРЕЙПФРУТ, ЛЕДЕНЦЫ ЛИМОН ДЫНЯ, СЛИВА АБРИКОС, УРАЛ, ЧЁРНАЯ СМОРОДИНА, SWITTLES( ФРУКТОВОЕ ДРАЖЕ);
19.08.2025;Шкуркин Иван;Проезд;Fog;Новосибирск, Геодезическая улица, 2/1 • этаж цокольный;;;ГВОЗДИКА, ГРЕЙПФРУТ, ЗЕЛЕНЫЙ ЧАЙ, КИСЛАЯ МАЛИНА, КОРИЦА, ЛЕДЕНЦЫ ЛИМОН ДЫНЯ, МАЛИНА ЛИЧИ БАЗИЛИК, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧУПА ЭНЕРДЖИ;ЗЕМЛЯНИКА
18.08.2025;Шарков Роман;Проезд;Мята Lounge;Республика Башкортостан, Уфа, бульвар Ибрагимова, 90/2, 450006;АПЕЛЬСИН, ЛИМОНЧЕЛЛО;КОКОС, МАРАСКИНО ЧЕРРИ, ОАЗИС (МАНГО ЛИЧИ АПЕЛЬСИН), ЧЕРЁМУХА;;
18.08.2025;Дмитрий Гришин;Проезд;Barior;Герцена 44а;КЛУБНИКА, ЯГОДНЫЙ СМУЗИ;ЛАВАНДОВЫЙ ТОНИК, ЛЕДЯНОЙ АРБУЗ, МУЛЬТИФРУКТ, ПЕРСИК, ЧУПА ЭНЕРДЖИ;;
18.08.2025;Дубицкий Иван;Проезд;Hookah Club;Нижний Новгород, Большая Покровская улица, 68;АРБУЗНАЯ ЖВАЧКА;;;
18.08.2025;Дмитрий Мальков;Проезд;Мята Lounge;ул. Саляма Адиля, 9, корп. 3 этаж 7;;ГАСПАЧО, МАНГО КИВИ, ФРУКТОВАЯ КОНФЕТА;;
18.08.2025;Кравцов Денис;Проезд;Chill Out'19;Московская область, Мытищи, улица Веры Волошиной, 19/16 • этаж цокольный;;ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА);УРАЛ, ЧЁРНАЯ СМОРОДИНА;
18.08.2025;Дубицкий Иван;Проезд;My loft;Нижний Новгород, Большая Покровская улица, 68, 603000;АРБУЗНАЯ ЖВАЧКА, КИСЛАЯ СМОРОДИНА;;;
18.08.2025;Кравцов Денис;Проезд;Кальянная Публика;Московская область, Мытищи, проспект Астрахова, 14А;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, МАНДАРИН, ЧЕРНИКА ЙОГУРТ;;ЧЁРНЫЙ ПЕРЕЦ
18.08.2025;Чечин Илья;Проезд;Jojo;Чистопольская улица, 19г;;;;
18.08.2025;Дмитрий Никулин;Проезд;White Star Lounge;Новогиреевская ул., 29, корп. 1, Москва, 111397 • этаж цокольный;;АЛОЭ КЛУБНИКА, ГОЛУБИКА, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ПЕСОЧНОЕ ПЕЧЕНЬЕ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
18.08.2025;Эдуард Цепелев;Проезд;Темный Лес;Пермь, улица Куйбышева, 71, 614016;КИСЛАЯ СМОРОДИНА, КОКОС, КРАСНЫЙ ВИНОГРАД, ЛИМОН, ЛИМОНЧЕЛЛО, МАЛИНА, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;ВИШНЁВЫЙ СОК, ГРУША ГОРГОНЗОЛА, КОКОС, ЛАВАНДОВЫЙ ТОНИК, МАНГО КИВИ, САХАРНАЯ КЛЮКВА, ЧЕРНИКА ЙОГУРТ, ЧЕРНОСЛИВ КЕДР;КОРИЦА, ТОРФЯНОЙ ВИСКИ;БАЗА, ГРЕЦКИЙ, ДЖИН, МОРКОВНЫЙ ФРЕШ
14.08.2025;Фофанов Андрей;Проезд;Stories ;Челябинск, проспект Героя России Е.Н. Родионова, 6;ДЫНЯ, МАНГО;МУЛЬТИФРУКТ;;
18.08.2025;Кравцов Денис;Проезд;HookahPlace Mars;Москва, улица Маросейка, 7/8, 101000;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), КЛУБНИКА АНАНАС, ЛАВАНДА ФЕЙХОА, ЛАВАНДОВЫЙ ТОНИК, СМОРОДИНА ЧАБРЕЦ, ЧЕРЁМУХА, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;ГРЕЦКИЙ, КАРАМЕЛЬ, МОРКОВНЫЙ ФРЕШ
21.08.2025;Петров Алексей;Проезд;Smoke Inn Lounge;Санкт-Петербург, улица Рентгена, 4, 197101 • этаж цокольный;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ПЕСОЧНОЕ ПЕЧЕНЬЕ, САХАРНАЯ КЛЮКВА;;АНАНАС, БАЗА, ГРЕЦКИЙ, ЗЕМЛЯНИКА, КАРАМЕЛЬ, МАНГО, МОРКОВНЫЙ ФРЕШ, ЧЁРНЫЙ ПЕРЕЦ
18.08.2025;Дмитрий Мальков;Проезд;HookahPlace Well's;Москва, бульвар Генерала Карбышева, 13А, 123154;;БАЗИЛИК ЛАЙМ, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), КЛУБНИКА АНАНАС, КОКОС, ЛИМОНЧЕЛЛО, ОАЗИС (МАНГО ЛИЧИ АПЕЛЬСИН), ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА;ГВОЗДИКА, КОРИЦА, ЛАВАНДА;
18.08.2025;Чечин Илья;Проезд;the Дым;ЖК Столичный, улица Сибгата Хакима, 51;КИСЛАЯ СМОРОДИНА, ХВОЯ;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ЗЕЛЕНЫЙ ЧАЙ, КИВИ СЕЛЬДЕРЕЙ;;ГРЕЦКИЙ
18.08.2025;Шарков Роман;Проезд;Smokelab ;Республика Башкортостан, Уфа, улица Мустая Карима, 6, корп. 1, 450077;ДЫНЯ, КЛУБНИКА, КРАСНЫЙ ВИНОГРАД, ТРОПИЧЕСКИЙ СМУЗИ;БАЗИЛИК ЛАЙМ, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), КИВИ СЕЛЬДЕРЕЙ, ПЕСОЧНОЕ ПЕЧЕНЬЕ;;АНАНАС, ЗЕМЛЯНИКА, МАЛИНА, МАНГО
14.08.2025;Петров Алексей;Проезд;Осака лаунж;Санкт-Петербург, Корпусная улица, 9, 197110 • этаж 1-ый;КЛУБНИКА;ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА);КОРИЦА;
18.08.2025;Шарков Роман;Проезд;Шерлок Холмс;Республика Башкортостан, Уфа, улица Чернышевского, 75, 450076 • этаж 1;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КРАСНЫЙ ВИНОГРАД, ЛИМОНЧЕЛЛО, МАЛИНА, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;АЛОЭ КЛУБНИКА, БАРБАРИС, ЁЛКИ ЯГОДЫ АНАНАС, ЛАВАНДОВЫЙ ТОНИК, ЛИМОНЧЕЛЛО, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧУПА ЭНЕРДЖИ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
18.08.2025;Петров Алексей;Проезд;Babushka;Санкт-Петербург, улица Бабушкина, 17, 192029;;ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЯГОДНЫЙ МИЛКШЕЙК;;ГРЕЦКИЙ, МОРКОВНЫЙ ФРЕШ
